node_count, relationship_count, result_count, gpu_conversion_time, gpu_runtime, cypher_runtime, query
2, 1, 245, 13, 64, 63, "MATCH (A)-[:PREVIOUS]->(B) RETURN A, B;"
2, 1, 35, 7, 4, 30, "MATCH (A)-[:ALLY_OF]->(B) RETURN A, B;"
2, 1, 931, 7, 10, 319, "MATCH (A)-[:APPEARED_IN]->(B) RETURN A, B;"
2, 1, 18, 5, 16, 18, "MATCH (A)-[:USED_IN]->(B) RETURN A, B;"
2, 1, 88, 3, 4, 19, "MATCH (A)-[:MEMBER_OF]->(B) RETURN A, B;"
2, 1, 82, 3, 8, 17, "MATCH (A)-[:COMPOSED_OF]->(B) RETURN A, B;"
2, 1, 55, 5, 6, 16, "MATCH (A)-[:ORIGINAL_PROP]->(B) RETURN A, B;"
2, 1, 82, 5, 5, 20, "MATCH (A)-[:IS_A]->(B) RETURN A, B;"
2, 1, 7, 3, 4, 18, "MATCH (A)-[:LOVES]->(B) RETURN A, B;"
2, 1, 85, 4, 4, 16, "MATCH (A)-[:COMES_FROM]->(B) RETURN A, B;"
2, 1, 5, 5, 36, 20, "MATCH (A)-[:OWNS]->(B) RETURN A, B;"
2, 1, 320, 6, 35, 23, "MATCH (A)-[:ENEMY_OF]->(B) RETURN A, B;"
2, 1, 46, 2, 7, 13, "MATCH (A)-[:COMPANION_OF]->(B) RETURN A, B;"
2, 1, 25, 3, 9, 17, "MATCH (A)-[:PLAYED]->(B) RETURN A, B;"
2, 1, 17, 4, 6, 10, "MATCH (A)-[:REGENERATED_TO]->(B) RETURN A, B;"
2, 1, 245, 4, 26, 25, "MATCH (A)-[:NEXT]->(B) RETURN A, B;"
